absolute_course_url,course_name,subject_name
https://www.class-central.com/course/coursera-managerial-accounting-fundamentals-10209,Managerial Accounting Fundamentals,Business
https://www.class-central.com/course/coursera-administracao-financeira-10713,Administração Financeira,Business
https://www.class-central.com/course/france-universite-numerique-les-fondamentaux-des-finances-locales-session-4-10898,Les fondamentaux des finances locales - Session 4,Business
https://www.class-central.com/course/coursera------12149,Правовое обеспечение бизнеса в России,Business
https://www.class-central.com/course/coursera-organisational-behaviour-know-your-people-12150,Organisational behaviour: Know your people,Business
https://www.class-central.com/course/coursera-organisational-design-know-your-organisation-12152,Organisational design: Know your organisation,Business
https://www.class-central.com/course/coursera-sales-pitch-and-closing-11795,Sales Pitch and Closing,Business
https://www.class-central.com/course/coursera-compensation-expenses-and-quotas-12424,"Compensation, Expenses and Quotas",Business
https://www.class-central.com/course/coursera-account-management-sales-force-design-12426,Account Management & Sales Force Design,Business
https://www.class-central.com/course/coursera------12586,Основы бухгалтерского учета и аудита,Business
https://www.class-central.com/course/coursera---12526,Современный менеджмент,Business
https://www.class-central.com/course/coursera-brand-identity-and-strategy-13108,Brand Identity and Strategy,Business
https://www.class-central.com/course/coursera-brand-content-marketing-13110, Brand & Content Marketing ,Business
https://www.class-central.com/course/coursera-grow-to-greatness-smart-growth-for-private-businesses-part-ii-463,"Grow to Greatness: Smart Growth for Private Businesses, Part II",Business
https://www.class-central.com/course/coursera-personal-family-financial-planning-1811,Personal & Family Financial Planning,Business
https://www.class-central.com/course/coursera-digital-media-and-marketing-principles-2748,Digital Media and Marketing Principles,Business
https://www.class-central.com/course/coursera-digital-media-and-marketing-strategies-2749,Digital Media and Marketing Strategies,Business
https://www.class-central.com/course/coursera-content-advertising-social-imc-4263,"Content, Advertising & Social IMC",Business
https://www.class-central.com/course/coursera-business-of-games-and-entrepreneurship-4178,Business of Games and Entrepreneurship,Business
https://www.class-central.com/course/coursera-strategic-management-4279,Strategic Management,Business
https://www.class-central.com/course/coursera-business-intelligence-concepts-tools-and-applications-4285,"Business Intelligence Concepts, Tools, and Applications",Business
https://www.class-central.com/course/coursera-fundamentos-del-emprendimiento-pensamiento-y-accion-4634,Fundamentos del Emprendimiento: Pensamiento y Acción,Business
https://www.class-central.com/course/coursera-----5689,Фінанси для нефінансових спеціалістів,Business
https://www.class-central.com/course/coursera-brand-and-product-management-5478,Brand and Product Management,Business
https://www.class-central.com/course/coursera-decision-making-and-scenarios-5481,Decision-Making and Scenarios,Business
https://www.class-central.com/course/coursera-portfolio-and-risk-management-5490,Portfolio and Risk Management,Business
https://www.class-central.com/course/coursera-coaching-practices-5496,Coaching Practices,Business
https://www.class-central.com/course/coursera-introduccion-a-las-finanzas-5504,Introducción a las Finanzas,Business
https://www.class-central.com/course/coursera-advanced-content-and-social-tactics-to-optimize-seo-5535,Advanced Content and Social Tactics to Optimize SEO,Business
https://www.class-central.com/course/coursera-reussir-le-changement-5871,Réussir le Changement,Business
https://www.class-central.com/course/coursera--5962,Психодиагностика,Business
https://www.class-central.com/course/coursera-the-marketing-plan-6213,The Marketing Plan,Business
https://www.class-central.com/course/coursera-identifying-social-entrepreneurship-opportunities-7029,Identifying Social Entrepreneurship Opportunities,Business
https://www.class-central.com/course/coursera-business-analytics-for-decision-making-7040,Business Analytics for Decision Making,Business
https://www.class-central.com/course/coursera-predictive-modeling-and-analytics-7043,Predictive Modeling and Analytics ,Business
https://www.class-central.com/course/coursera-fundamentos-de-excel-para-negocios-7081,Fundamentos de Excel para Negocios,Business
https://www.class-central.com/course/coursera-coberturas-de-riesgo-con-futuros-y-opciones-para-agrobusiness-7082,Coberturas de riesgo con futuros y opciones para agrobusiness,Business
https://www.class-central.com/course/coursera-construction-project-management-7105,Construction Project Management,Business
https://www.class-central.com/course/coursera-survey-analysis-to-gain-marketing-insights-6915,Survey analysis to Gain Marketing Insights,Business
https://www.class-central.com/course/coursera-supply-chain-sourcing-6923,Supply Chain Sourcing,Business
https://www.class-central.com/course/coursera-design-your-own-trading-strategy-culminating-project-7008,Design your own trading strategy – Culminating Project,Business
https://www.class-central.com/course/coursera-global-financial-markets-and-instruments-7023,Global Financial Markets and Instruments,Business
https://www.class-central.com/course/coursera-proyecto-capstone-estrategia-de-marketing-6820,Proyecto capstone estrategia de marketing,Business
https://www.class-central.com/course/coursera-contabilidad-para-no-contadores-7412,Contabilidad para no contadores ,Business
https://www.class-central.com/course/coursera-master-class-for-corporate-entrepreneurs-7284,Master Class for Corporate Entrepreneurs,Business
https://www.class-central.com/course/coursera-culture-driven-team-building-capstone-7126,Culture-Driven Team Building Capstone ,Business
https://www.class-central.com/course/coursera-solucion-de-problemas-y-toma-de-decisiones-7132,Solución de problemas y toma de decisiones,Business
https://www.class-central.com/course/coursera-estructura-de-capital-y-politica-de-dividendos-7134,Estructura de capital y política de dividendos,Business
https://www.class-central.com/course/coursera-gestion-del-talento-humano-7145,Gestión del talento humano,Business
https://www.class-central.com/course/coursera-administracion-financiera-y-su-funcion-en-la-empresa-7146,Administración financiera y su función en la empresa ,Business
https://www.class-central.com/course/coursera-business-analytics-and-digital-media-7184,Business Analytics and Digital Media,Business
https://www.class-central.com/course/coursera-innovation-entrepreneurship-from-basics-to-open-innovation-7795,Innovation & Entrepreneurship - From Basics to Open Innovation,Business
https://www.class-central.com/course/coursera-leading-the-life-you-want-8228,Leading the Life You Want,Business
https://www.class-central.com/course/futurelearn-leadership-coaching-through-turbulent-times-playing-with-efire-8868,Leadership Coaching through Turbulent Times: Playing with eFIRE,Business
https://www.class-central.com/course/coursera-six-sigma-tools-for-improve-and-control-8874,Six Sigma Tools for Improve and Control,Business
https://www.class-central.com/course/coursera-entrepreneurship-i-laying-the-foundation-9047,Entrepreneurship I: Laying the Foundation,Business
https://www.class-central.com/course/coursera-six-sigma-advanced-improve-and-control-phases-9076,Six Sigma Advanced Improve and Control Phases,Business
https://www.class-central.com/course/coursera-china-strategy-9768,China Strategy,Business
https://www.class-central.com/course/coursera-achieving-advanced-insights-with-bigquery-9675,Achieving Advanced Insights with BigQuery,Business
https://www.class-central.com/course/coursera-gestao-de-riscos-e-de-mudancas-em-projetos-10716,Gestão de Riscos e de Mudanças em Projetos,Business
https://www.class-central.com/course/coursera-planned-giving-10805,Planned Giving,Business
https://www.class-central.com/course/coursera-l-excellence-operationnelle-en-pratique-11459,L'excellence opérationnelle en pratique ,Business
https://www.class-central.com/course/coursera-safety-in-the-utility-industry-12051,Safety in the Utility Industry ,Business
https://www.class-central.com/course/coursera----experience-design-and-innovation-of-service-models-from-pain-points-to-selling-points-11712,"服務模式的體驗、設計與創新：從痛點到賣點 (Experience, Design, and Innovation of Service Models: from Pain Points to Selling Points)",Business
https://www.class-central.com/course/coursera-agile-meets-design-thinking-11994,Agile Meets Design Thinking,Business
https://www.class-central.com/course/coursera-adapt-your-leadership-style-12172,Adapt your leadership style,Business
https://www.class-central.com/course/coursera-finanzas-operativas-como-construir-una-empresa-solida-12315,Finanzas operativas: cómo construir una empresa sólida,Business
https://www.class-central.com/course/coursera-green-business-strategy-12644,Green Business Strategy,Business
https://www.class-central.com/course/coursera-agile--scrum-------12645,Agile и Scrum в работе над проектами и продуктами.,Business
https://www.class-central.com/course/coursera-esports-teams-and-professional-players-13107,Esports Teams and Professional Players,Business
https://www.class-central.com/course/coursera-grow-to-greatness-smart-growth-for-private-businesses-part-i-433,"Grow to Greatness: Smart Growth for Private Businesses, Part I",Business
https://www.class-central.com/course/coursera-creativity-innovation-and-change-677,"Creativity, Innovation, and Change",Business
https://www.class-central.com/course/coursera-the-importance-of-listening-4213,The Importance of Listening,Business
https://www.class-central.com/course/coursera-the-business-of-social-4262,The Business of Social,Business
